2026-05-08 23:46:35 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:46:35 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:46:35 | INFO     | data_preprocessing | Preparing VIX
2026-05-08 23:46:35 | INFO     | data_preprocessing | Preparing BankNifty
2026-05-08 23:46:35 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:46:35 | INFO     | data_preprocessing | Final shape: (988, 13)
2026-05-08 23:46:35 | INFO     | __main__ | IS rows: 862
2026-05-08 23:46:35 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:50:20 | INFO     | __main__ | Loading dataset
2026-05-08 23:50:20 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:50:20 | INFO     | data_preprocessing | Preparing VIX
2026-05-08 23:50:20 | INFO     | data_preprocessing | Preparing BankNifty
2026-05-08 23:50:20 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:50:20 | INFO     | data_preprocessing | Final shape: (988, 13)
2026-05-08 23:50:20 | INFO     | __main__ | Creating features
2026-05-08 23:50:20 | INFO     | feature_engineering | Creating features
2026-05-08 23:50:20 | INFO     | feature_engineering | Creating target
2026-05-08 23:50:20 | INFO     | feature_engineering | Dropping NaNs
2026-05-08 23:50:20 | INFO     | feature_engineering | Dropped 251 rows
2026-05-08 23:50:20 | INFO     | feature_engineering | Final shape: (737, 46)
2026-05-08 23:50:20 | INFO     | __main__ | Total IS rows: 611
2026-05-08 23:50:22 | INFO     | __main__ | Fold 1 | AUC=0.4643 | BAL_ACC=0.4857
2026-05-08 23:50:23 | INFO     | __main__ | Fold 2 | AUC=0.4938 | BAL_ACC=0.5062
2026-05-08 23:50:23 | INFO     | __main__ | Fold 3 | AUC=0.4990 | BAL_ACC=0.4722
2026-05-08 23:50:24 | INFO     | __main__ | Fold 4 | AUC=0.3971 | BAL_ACC=0.4413
2026-05-08 23:50:25 | INFO     | __main__ | Fold 5 | AUC=0.4274 | BAL_ACC=0.5089
2026-05-08 23:50:25 | INFO     | __main__ | Fold 6 | AUC=0.4013 | BAL_ACC=0.4623
2026-05-08 23:50:26 | INFO     | __main__ | Fold 7 | AUC=0.4640 | BAL_ACC=0.3704
2026-05-08 23:50:26 | INFO     | __main__ | Fold 8 | AUC=0.5606 | BAL_ACC=0.4818
2026-05-08 23:50:26 | INFO     | __main__ | Fold 9 | AUC=0.5171 | BAL_ACC=0.4199
2026-05-08 23:50:27 | INFO     | __main__ | Fold 10 | AUC=0.4918 | BAL_ACC=0.5357
2026-05-08 23:50:27 | INFO     | __main__ | Fold 11 | AUC=0.4023 | BAL_ACC=0.4376
2026-05-08 23:50:27 | INFO     | __main__ | Fold 12 | AUC=0.4245 | BAL_ACC=0.4750
2026-05-08 23:50:28 | INFO     | __main__ | Fold 13 | AUC=0.5953 | BAL_ACC=0.5624
2026-05-08 23:50:28 | INFO     | __main__ | Fold 14 | AUC=0.5737 | BAL_ACC=0.5606
2026-05-08 23:50:28 | INFO     | __main__ | Fold 15 | AUC=0.5335 | BAL_ACC=0.5309
2026-05-08 23:50:28 | INFO     | __main__ | Logging to MLflow
2026-05-08 23:50:29 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:50:29 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:50:29 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:50:29 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 23:50:29 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:50:29 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:50:29 | INFO     | __main__ | Walk-forward completed
2026-05-08 23:50:29 | INFO     | __main__ | Mean AUC: 0.4830
2026-05-08 23:50:29 | INFO     | __main__ | Mean Balanced Accuracy: 0.4834
2026-05-08 23:51:32 | INFO     | __main__ | Loading dataset
2026-05-08 23:51:32 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:51:32 | INFO     | data_preprocessing | Preparing VIX
2026-05-08 23:51:32 | INFO     | data_preprocessing | Preparing BankNifty
2026-05-08 23:51:32 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:51:32 | INFO     | data_preprocessing | Final shape: (988, 13)
2026-05-08 23:51:32 | INFO     | __main__ | Creating features
2026-05-08 23:51:32 | INFO     | feature_engineering | Creating features
2026-05-08 23:51:32 | INFO     | feature_engineering | Creating target
2026-05-08 23:51:32 | INFO     | feature_engineering | Dropping NaNs
2026-05-08 23:51:32 | INFO     | feature_engineering | Dropped 251 rows
2026-05-08 23:51:32 | INFO     | feature_engineering | Final shape: (737, 46)
2026-05-08 23:51:32 | INFO     | __main__ | Total IS rows: 611
2026-05-08 23:51:34 | INFO     | __main__ | Fold 1 | AUC=0.4643 | BAL_ACC=0.4857
2026-05-08 23:51:34 | INFO     | __main__ | Fold 2 | AUC=0.4938 | BAL_ACC=0.5062
2026-05-08 23:51:34 | INFO     | __main__ | Fold 3 | AUC=0.4990 | BAL_ACC=0.4722
2026-05-08 23:51:35 | INFO     | __main__ | Fold 4 | AUC=0.3971 | BAL_ACC=0.4413
2026-05-08 23:51:35 | INFO     | __main__ | Fold 5 | AUC=0.4274 | BAL_ACC=0.5089
2026-05-08 23:51:36 | INFO     | __main__ | Fold 6 | AUC=0.4013 | BAL_ACC=0.4623
2026-05-08 23:51:37 | INFO     | __main__ | Fold 7 | AUC=0.4640 | BAL_ACC=0.3704
2026-05-08 23:51:38 | INFO     | __main__ | Fold 8 | AUC=0.5606 | BAL_ACC=0.4818
2026-05-08 23:51:39 | INFO     | __main__ | Fold 9 | AUC=0.5171 | BAL_ACC=0.4199
2026-05-08 23:51:40 | INFO     | __main__ | Fold 10 | AUC=0.4918 | BAL_ACC=0.5357
2026-05-08 23:51:41 | INFO     | __main__ | Fold 11 | AUC=0.4023 | BAL_ACC=0.4376
2026-05-08 23:51:41 | INFO     | __main__ | Fold 12 | AUC=0.4245 | BAL_ACC=0.4750
2026-05-08 23:51:42 | INFO     | __main__ | Fold 13 | AUC=0.5953 | BAL_ACC=0.5624
2026-05-08 23:51:42 | INFO     | __main__ | Fold 14 | AUC=0.5737 | BAL_ACC=0.5606
2026-05-08 23:51:43 | INFO     | __main__ | Fold 15 | AUC=0.5335 | BAL_ACC=0.5309
2026-05-08 23:51:43 | INFO     | __main__ | Logging to MLflow
2026-05-08 23:51:43 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:51:44 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:51:44 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:51:44 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 23:51:44 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:51:44 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:51:44 | INFO     | __main__ | Walk-forward completed
2026-05-08 23:51:44 | INFO     | __main__ | Mean AUC: 0.4830
2026-05-08 23:51:44 | INFO     | __main__ | Mean Balanced Accuracy: 0.4834
2026-05-08 23:54:18 | INFO     | __main__ | Loading dataset
2026-05-08 23:54:18 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:54:18 | INFO     | data_preprocessing | Preparing VIX
2026-05-08 23:54:18 | INFO     | data_preprocessing | Preparing BankNifty
2026-05-08 23:54:18 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:54:18 | INFO     | data_preprocessing | Final shape: (988, 13)
2026-05-08 23:54:18 | INFO     | __main__ | Creating features
2026-05-08 23:54:18 | INFO     | feature_engineering | Creating features
2026-05-08 23:54:18 | INFO     | feature_engineering | Creating target
2026-05-08 23:54:18 | INFO     | feature_engineering | Dropping NaNs
2026-05-08 23:54:18 | INFO     | feature_engineering | Dropped 251 rows
2026-05-08 23:54:18 | INFO     | feature_engineering | Final shape: (737, 46)
2026-05-08 23:54:18 | INFO     | __main__ | Total IS rows: 611
2026-05-08 23:54:20 | INFO     | __main__ | Fold 1 | AUC=0.4643 | BAL_ACC=0.4857
2026-05-08 23:54:21 | INFO     | __main__ | Fold 2 | AUC=0.4938 | BAL_ACC=0.5062
2026-05-08 23:54:22 | INFO     | __main__ | Fold 3 | AUC=0.4990 | BAL_ACC=0.4722
2026-05-08 23:54:23 | INFO     | __main__ | Fold 4 | AUC=0.3971 | BAL_ACC=0.4413
2026-05-08 23:54:24 | INFO     | __main__ | Fold 5 | AUC=0.4274 | BAL_ACC=0.5089
2026-05-08 23:54:25 | INFO     | __main__ | Fold 6 | AUC=0.4013 | BAL_ACC=0.4623
2026-05-08 23:54:25 | INFO     | __main__ | Fold 7 | AUC=0.4640 | BAL_ACC=0.3704
